time	charge	power
177	-nan(ind)	-nan(ind)
178	-nan(ind)	-nan(ind)
179	-nan(ind)	-nan(ind)
180	-nan(ind)	-nan(ind)
181	-nan(ind)	-nan(ind)
182	-nan(ind)	-nan(ind)
183	-nan(ind)	-nan(ind)
184	-nan(ind)	-nan(ind)
185	-nan(ind)	-nan(ind)
186	-nan(ind)	-nan(ind)
187	-nan(ind)	-nan(ind)
188	-nan(ind)	-nan(ind)
189	-nan(ind)	-nan(ind)
190	-nan(ind)	-nan(ind)
191	-nan(ind)	-nan(ind)
192	-nan(ind)	-nan(ind)
193	-nan(ind)	-nan(ind)
194	-nan(ind)	-nan(ind)
195	-nan(ind)	-nan(ind)
196	-nan(ind)	-nan(ind)
197	-nan(ind)	-nan(ind)
198	-nan(ind)	-nan(ind)
199	-nan(ind)	-nan(ind)
200	-nan(ind)	-nan(ind)
201	-nan(ind)	-nan(ind)
202	-nan(ind)	-nan(ind)
203	-nan(ind)	-nan(ind)
204	-nan(ind)	-nan(ind)
205	-nan(ind)	-nan(ind)
206	-nan(ind)	-nan(ind)
207	-nan(ind)	-nan(ind)
208	-nan(ind)	-nan(ind)
209	-nan(ind)	-nan(ind)
210	-nan(ind)	-nan(ind)
211	-nan(ind)	-nan(ind)
212	-nan(ind)	-nan(ind)
213	-nan(ind)	-nan(ind)
214	-nan(ind)	-nan(ind)
215	-nan(ind)	-nan(ind)
216	-nan(ind)	-nan(ind)
217	-nan(ind)	-nan(ind)
218	-nan(ind)	-nan(ind)
219	-nan(ind)	-nan(ind)
220	-nan(ind)	-nan(ind)
221	-nan(ind)	-nan(ind)
222	-nan(ind)	-nan(ind)
223	-nan(ind)	-nan(ind)
224	-nan(ind)	-nan(ind)
225	-nan(ind)	-nan(ind)
226	-nan(ind)	-nan(ind)
227	-nan(ind)	-nan(ind)
228	-nan(ind)	-nan(ind)
229	-nan(ind)	-nan(ind)
230	-nan(ind)	-nan(ind)
231	-nan(ind)	-nan(ind)
232	-nan(ind)	-nan(ind)
233	-nan(ind)	-nan(ind)
234	-nan(ind)	-nan(ind)
235	-nan(ind)	-nan(ind)
236	-nan(ind)	-nan(ind)
237	-nan(ind)	-nan(ind)
238	-nan(ind)	-nan(ind)
239	-nan(ind)	-nan(ind)
240	-nan(ind)	-nan(ind)
241	-nan(ind)	-nan(ind)
242	-nan(ind)	-nan(ind)
243	-nan(ind)	-nan(ind)
244	-nan(ind)	-nan(ind)
245	-nan(ind)	-nan(ind)
246	-nan(ind)	-nan(ind)
247	-nan(ind)	-nan(ind)
248	-nan(ind)	-nan(ind)
249	-nan(ind)	-nan(ind)
250	-nan(ind)	-nan(ind)
251	-nan(ind)	-nan(ind)
252	-nan(ind)	-nan(ind)
253	-nan(ind)	-nan(ind)
254	-nan(ind)	-nan(ind)
255	-nan(ind)	-nan(ind)
256	-nan(ind)	-nan(ind)
257	-nan(ind)	-nan(ind)
258	-nan(ind)	-nan(ind)
259	-nan(ind)	-nan(ind)
260	-nan(ind)	-nan(ind)
261	-nan(ind)	-nan(ind)
262	-nan(ind)	-nan(ind)
263	-nan(ind)	-nan(ind)
264	-nan(ind)	-nan(ind)
265	-nan(ind)	-nan(ind)
266	-nan(ind)	-nan(ind)
267	-nan(ind)	-nan(ind)
268	-nan(ind)	-nan(ind)
269	-nan(ind)	-nan(ind)
270	-nan(ind)	-nan(ind)
271	-nan(ind)	-nan(ind)
272	-nan(ind)	-nan(ind)
273	-nan(ind)	-nan(ind)
274	-nan(ind)	-nan(ind)
275	-nan(ind)	-nan(ind)
276	-nan(ind)	-nan(ind)
277	-nan(ind)	-nan(ind)
278	-nan(ind)	-nan(ind)
279	-nan(ind)	-nan(ind)
280	-nan(ind)	-nan(ind)
281	-nan(ind)	-nan(ind)
282	-nan(ind)	-nan(ind)
283	-nan(ind)	-nan(ind)
284	-nan(ind)	-nan(ind)
285	-nan(ind)	-nan(ind)
286	-nan(ind)	-nan(ind)
287	-nan(ind)	-nan(ind)
288	-nan(ind)	-nan(ind)
289	-nan(ind)	-nan(ind)
290	-nan(ind)	-nan(ind)
291	-nan(ind)	-nan(ind)
292	-nan(ind)	-nan(ind)
293	-nan(ind)	-nan(ind)
294	-nan(ind)	-nan(ind)
295	-nan(ind)	-nan(ind)
296	-nan(ind)	-nan(ind)
297	-nan(ind)	-nan(ind)
298	-nan(ind)	-nan(ind)
299	-nan(ind)	-nan(ind)
300	-nan(ind)	-nan(ind)
301	-nan(ind)	-nan(ind)
302	-nan(ind)	-nan(ind)
303	-nan(ind)	-nan(ind)
304	-nan(ind)	-nan(ind)
305	-nan(ind)	-nan(ind)
306	-nan(ind)	-nan(ind)
307	-nan(ind)	-nan(ind)
308	-nan(ind)	-nan(ind)
309	-nan(ind)	-nan(ind)
310	-nan(ind)	-nan(ind)
311	-nan(ind)	-nan(ind)
312	-nan(ind)	-nan(ind)
313	-nan(ind)	-nan(ind)
314	-nan(ind)	-nan(ind)
